Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Series,Publisher,Place,Extra,Manual Tags,Editor
AEPWHQ75,journalArticle,2022,"Forootani, Ali; Rastegar, Mohammad; Sami, Ashkan",Short-term individual residential load forecasting using an enhanced machine learning-based approach based on a feature engineering framework: A comparative study with deep learning methods,ELECTRIC POWER SYSTEMS RESEARCH,,0378-7796,10.1016/j.epsr.2022.108119,,"Accurate short-term forecasting of the individual residential load is a challenging task due to the nonlinear behavior of the residential customer. Moreover, there are a large number of features that have impact on the energy consumption of the residential load. Recently, deep learning algorithms are widely used for short-term load forecasting (STLF) of residential load. Although deep learning algorithms are capable of achieving promising results due to their ability in feature extraction, machine learning algorithms are also prone to obtain satisfactory results with lower complexity and easier implementation. Identifying the most dominant features which have the highest impact on residential load is a pragmatic measure to boost the accuracy of STLF. But deep learning algorithms use feature extraction, which leads to the loss of data interpretability due to transforming the data. This paper proposes to improve the accuracy of the individual residential STLF using an enhanced machine learning-based approach via a feature-engineering framework. To this end, various datasets and features such as historical load and climate features are collected. Afterward, correlation analysis and outlier detection via the k nearest neighbor algorithm are deployed to implement outlier detection. In the next stage, feature selection algorithms are used to identify the foremost dominant features. Additionally, this paper conducts a comparative study between the proposed approach and state-of-the-art deep learning architectures. Eventually, the isolation forest algorithm is used to verify the effectiveness of the proposed approach by identifying anomalous samples and comparing the results of the proposed approach with those of deep learning algorithms.",2022-09,,,210,,,,"Place: PO BOX 564, 1001 LAUSANNE, SWITZERLAND Publisher: ELSEVIER SCIENCE SA Type: Article",Deep learning; Feature selection; Machine learning; Outlier detection; Residential load forecasting,
K66GIUZB,journalArticle,2018,"Shi, Heng; Xu, Minghao; Li, Ran",Deep Learning for Household Load Forecasting-A Novel Pooling Deep RNN,IEEE TRANSACTIONS ON SMART GRID,,1949-3053,10.1109/TSG.2017.2686012,,"The key challenge for household load forecasting lies in the high volatility and uncertainty of load profiles. Traditional methods tend to avoid such uncertainty by load aggregation (to offset uncertainties), customer classification (to cluster uncertainties) and spectral analysis (to filter out uncertainties). This paper, for the first time, aims to directly learn the uncertainty by applying a new breed of machine learning algorithms deep learning. However, simply adding layers in neural networks will cap the forecasting performance due to the occurrence of over-fitting. A novel pooling-based deep recurrent neural network is proposed in this paper which batches a group of customers' load profiles into a pool of inputs. Essentially the model could address the over-fitting issue by increasing data diversity and volume. This paper reports the first attempts to develop a bespoke deep learning application for household load forecasting and achieved preliminary success. The developed method is implemented on Tensorflow deep learning platform and tested on 920 smart metered customers from Ireland. Compared with the state-of-the-art techniques in household load tore casting, the proposed method outperforms ARIMA by 19.5%, SVR by 13.1% and classical deep RNN by 6.5% in terms of RMSE.",2018-09,5271-5280,5,9,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",load forecasting; machine learning; Big data; deep learning; long short-term memory; neural network; smart meter,
2BJ6ZG6F,journalArticle,2020,"Hong, Ye; Zhou, Yingjie; Li, Qibin; Xu, Wenzheng; Zheng, Xiujuan",A Deep Learning Method for Short-Term Residential Load Forecasting in Smart Grid,IEEE ACCESS,,2169-3536,10.1109/ACCESS.2020.2981817,,"Residential demand response is vital for the efficiency of power system. It has attracted much attention from both academic and industry in recent years. Accurate short-term load forecasting is a fundamental task for demand response. While short-term forecasting for aggregated load data has been extensively studied, load forecasting for individual residential users is still challenging due to the dynamic and stochastic characteristic of single users & x2019; electricity consumption behaviors, i.e., the variability of the residential activities. To address this challenge, this paper presents a short-term residential load forecasting framework, which makes use of the spatio-temporal correlation existing in appliances & x2019; load data through deep learning. Multiple time series are conducted in the framework to describe electricity consumption behaviors and their internal spatio-temporal relationship. And a method based on deep neural network and iterative ResBlock is proposed to learn the correlation among different electricity consumption behaviors for short-term load forecasting. Experiments based on real world measurements have been conducted to evaluate the performance of the proposed forecasting approach. The results show that both the appliances & x2019; load data and iterative ResBlocks can help to improve the forecasting performance. Compared with existing methods, measurements on Root Mean Squared Error, Mean Absolute Error and Mean Absolute Percentage Error for the proposed approach are reduced by 3.89 & x0025;-20.00 & x0025;, 2.18 & x0025;-22.58 & x0025; and 0.69 & x0025;-32.78 & x0025;. In addition, further experiments are conducted to evaluate the impact of using appliances & x2019; load data, iterative ResBlocks as well as other factors for the proposed approach.",2020,55785-55797,,8,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",deep learning; residential load forecasting; iterative ResBlocks; short-term load forecasting; Smart grid,
QY2SYL2C,journalArticle,2023,"Al-Jamimi, Hamdi A.; Binmakhashen, Galal M.; Worku, Muhammed Y.; Hassan, Mohamed A.",Advancements in Household Load Forecasting: Deep Learning Model with Hyperparameter Optimization,ELECTRONICS,,,10.3390/electronics12244909,,"Accurate load forecasting is of utmost importance for modern power generation facilities to effectively meet the ever-changing electricity demand. Predicting electricity consumption is a complex task due to the numerous factors that influence energy usage. Consequently, electricity utilities and government agencies are constantly in search of advanced machine learning solutions to improve load forecasting. Recently, deep learning (DL) has gained prominence as a significant area of interest in prediction efforts. This paper introduces an innovative approach to electric load forecasting, leveraging advanced DL techniques and making significant contributions to the field of energy management. The hybrid predictive model has been specifically designed to enhance the accuracy of multivariate time series forecasting for electricity consumption within the energy sector. In our comparative analysis, we evaluated the performance of our proposed model against ML-based and state-of-the-art DL models, using a dataset obtained from the Distribution Network Station located in Tetouan City, Morocco. Notably, the proposed model surpassed its counterparts, demonstrating the lowest error in terms of the Root-Mean-Square Error (RMSE). This outcome underscores its superior predictive capability and underscores its potential to advance the accuracy of electricity consumption forecasting.",2023-12,,24,12,,,,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",load forecasting; deep learning; artificial intelligence; hyperparameter optimization,
HIS26H6M,journalArticle,2021,"Jiang, Lianjie; Wang, Xinli; Li, Wei; Wang, Lei; Yin, Xiaohong; Jia, Lei",Hybrid Multitask Multi-Information Fusion Deep Learning for Household Short-Term Load Forecasting,IEEE TRANSACTIONS ON SMART GRID,,1949-3053,10.1109/TSG.2021.3091469,,"With the detailed load data provided by smart meter, the learning of electricity usage behavior for individual household short-term load forecasting has become a hot research topic. The existing methods generally ignore the relation among multiple households and fail to obtain enough information from the limited household load data, resulting in accuracy reduction. To solve this problem, a novel hybrid Multitask Multi-information Fusion Deep Learning Framework (MFDL) considering both recent and long-term regular behaviors is proposed by integrating long short-term memory (LSTM), and convolutional neural network (CNN) to predict the multiple individual household short-term electricity consumptions. A multitask framework with two levels of information extraction is developed considering multiple household short-term load forecasting. In the low-level information extraction stage, the data structure including long and short datasets with different time scales is presented to learn the recent electricity usage behavior by LSTM and the long-term regular electricity behavior features by CNN. Then the multiple time-scale information is fused and further extracted in the high-level stage to complete the multiple individual short-term household load forecasting. The developed framework is implemented on one real-world load datasets and the results show the proposed method outperforms the state-of-the-art methods in common metrics.",2021-11,5362-5372,6,12,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",Deep learning; deep learning; Computational modeling; Feature extraction; Forecasting; individual household short-term load forecasting; Load forecasting; Load modeling; Load pattern; multitask framework; Predictive models,
6FLYDCBC,journalArticle,2021,"Hou, Tingting; Fang, Rengcun; Tang, Jinrui; Ge, Ganheng; Yang, Dongjun; Liu, Jianchao; Zhang, Wei",A Novel Short-Term Residential Electric Load Forecasting Method Based on Adaptive Load Aggregation and Deep Learning Algorithms,ENERGIES,,,10.3390/en14227820,,"Short-term residential load forecasting is the precondition of the day-ahead and intra-day scheduling strategy of the household microgrid. Existing short-term electric load forecasting methods are mainly used to obtain regional power load for system-level power dispatch. Due to the high volatility, strong randomness, and weak regularity of the residential load of a single household, the mean absolute percentage error (MAPE) of the traditional methods forecasting results would be too big to be used for home energy management. With the increase in the total number of households, the aggregated load becomes more and more stable, and the cyclical pattern of the aggregated load becomes more and more distinct. In the meantime, the maximum daily load does not increase linearly with the increase in households in a small area. Therefore, in our proposed short-term residential load forecasting method, an optimal number of households would be selected adaptively, and the total aggregated residential load of the selected households is used for load prediction. In addition, ordering points to identify the clustering structure (OPTICS) algorithm are also selected to cluster households with similar power consumption patterns adaptively. It can be used to enhance the periodic regularity of the aggregated load in alternative. The aggregated residential load and encoded external factors are then used to predict the load in the next half an hour. The long short-term memory (LSTM) deep learning algorithm is used in the prediction because of its inherited ability to maintain historical data regularity in the forecasting process. The experimental data have verified the effectiveness and accuracy of our proposed method.",2021-11,,22,14,,,,"Place: MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",deep learning; adaptive load aggregation; home energy management; load cluster; residential electric load forecasting,
85IMQMED,journalArticle,2023,"Ji, Xinhui; Huang, Huijie; Chen, Dongsheng; Yin, Kangning; Zuo, Yi; Chen, Zhenping; Bai, Rui",A Hybrid Residential Short-Term Load Forecasting Method Using Attention Mechanism and Deep Learning,BUILDINGS,,,10.3390/buildings13010072,,"Development in economics and social society has led to rapid growth in electricity demand. Accurate residential electricity load forecasting is helpful for the transformation of residential energy consumption structure and can also curb global climate warming. This paper proposes a hybrid residential short-term load forecasting framework (DCNN-LSTM-AE-AM) based on deep learning, which combines dilated convolutional neural network (DCNN), long short-term memory network (LSTM), autoencoder (AE), and attention mechanism (AM) to improve the prediction results. First, we design a T-nearest neighbors (TNN) algorithm to preprocess the original data. Further, a DCNN is introduced to extract the long-term feature. Secondly, we combine the LSTM with the AE (LSTM-AE) to learn the sequence features hidden in the extracted features and decode them into output features. Finally, the AM is further introduced to extract and fuse the high-level stage features to achieve the prediction results. Experiments on two real-world datasets show that the proposed method is good at capturing the oscillation characteristics of low-load data and outperforms other methods.",2023-01,,1,13,,,,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",deep learning; attention mechanism; dilated convolutional neural network; long and short-term memory network; residential short-term load forecasting,
32NRGFPT,journalArticle,2020,"Alhussein, Musaed; Aurangzeb, Khursheed; Haider, Syed Irtaza",Hybrid CNN-LSTM Model for Short-Term Individual Household Load Forecasting,IEEE ACCESS,,2169-3536,10.1109/ACCESS.2020.3028281,,"Power grids are transforming into flexible, smart, and cooperative systems with greater dissemination of distributed energy resources, advanced metering infrastructure, and advanced communication technologies. Short-term electric load forecasting for individual residential customers plays a progressively crucial role in the operation and planning of future grids. Compared to the aggregated electrical load at the community level, the prediction of individual household electric loads is legitimately challenging because of the high uncertainty and volatility involved. Results from previous studies show that prediction using machine learning and deep learning models is far from accurate, and there is still room for improvement. We herein propose a deep learning framework based on a combination of a convolutional neural network (CNN) and long short-term memory (LSTM). The proposed hybrid CNN-LSTM model uses CNN layers for feature extraction from the input data with LSTM layers for sequence learning. The performance of our developed framework is comprehensively compared to state-of-the-art systems currently in use for short-term individual household electric load forecasting. The proposed model achieved significantly better results compared to other competing techniques. We evaluated our proposed model with the recently explored LSTM-based deep learning model on a publicly available electrical load data of individual household customers from the Smart Grid Smart City (SGSC) project. We obtained an average mean absolute percentage error (MAPE) of 40.38% for individual household electric load forecasts in comparison with the LSTM-based model that obtained an average MAPE of 44.06%. Furthermore, we evaluated the effectiveness of the proposed model on different time horizons (up to 3 h ahead). Compared to the recently developed LSTM-based model tested on the same dataset, we obtained 4.01%, 4.76%, and 5.98% improvement for one, two, and six look-forward time steps, respectively (with 2 lookback time steps). Additionally, we have performed clustering analysis based on the power consumption behavior of the energy users, which indicate that prediction accuracy could be improved by grouping and training the representative model using large amount of data. The results indicated that the proposed model outperforms the LSTM-based model for both 1 h ahead and 3 h ahead in forecasting individual household electric loads.",2020,180544-180557,,8,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",Machine learning; Forecasting; Load forecasting; Load modeling; Predictive models; CNN; LSTM; Data models; deep learning framework; energy consumption; Energy consumption; energy consumption forecasting; individual household,
89RE9QYP,journalArticle,2022,"Xu, Chongchong; Li, Chaojie; Zhou, Xiaojun",Interpretable LSTM Based on Mixture Attention Mechanism for Multi-Step Residential Load Forecasting,ELECTRONICS,,,10.3390/electronics11142189,,"Residential load forecasting is of great significance to improve the energy efficiency of smart home services. Deep-learning techniques, i.e., long short-term memory (LSTM) neural networks, can considerably improve the performance of prediction models. However, these black-box networks are generally unexplainable, which creates an obstacle for the customer to deeply understand forecasting results and rapidly respond to uncertain circumstances, as practical engineering requires a high standard of prediction reliability. In this paper, an interpretable deep-learning method is proposed to solve the multi-step residential load forecasting problem which is referred to as explainable artificial intelligence (XAI). An encoder-decoder network architecture based on multi-variable LSTM (MV-LSTM) is developed for the multi-step probabilistic-load forecasting. The mixture attention mechanism is introduced in each prediction time step to better capture the different temporal dynamics of multivariate sequence in an interpretable form. By evaluating the contribution of each variable to the forecast, multi-quantile forecasts at multiple future time steps can be generated. The experiments on the real data set show that the proposed method can achieve good prediction performance while providing valuable explanations for the prediction results. The findings help end users gain insights into the forecasting model, bridging the gap between them and advanced deep-learning techniques.",2022-07,,14,11,,,,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",residential load forecasting; interpretable deep learning; mixture attention; multi-step forecasting,
2H5K47WI,journalArticle,2022,"Ahajjam, Mohamed Aymane; Licea, Daniel Bonilla; Ghogho, Mounir; Kobbane, Abdellatif",Experimental investigation of variational mode decomposition and deep learning for short-term multi-horizon residential electric load forecasting,APPLIED ENERGY,,0306-2619,10.1016/j.apenergy.2022.119963,,"With the booming growth of advanced digital technologies, it has become possible for users as well as distributors of energy to obtain detailed and timely information about the electricity consumption of households. These technologies can also be used to forecast the household's electricity consumption (a.k.a. the load). In this paper, Variational Mode Decomposition and deep learning techniques are investigated as a way to improve the accuracy of the load forecasting problem. Although this problem has been studied in the literature, selecting an appropriate decomposition level and a deep learning technique providing better forecasting performance have garnered comparatively less attention. This study bridges this gap by studying the effect of six decomposition levels and five distinct deep learning networks. The raw load profiles are first decomposed into intrinsic mode functions using the Variational Mode Decomposition in order to mitigate their non-stationary aspect. Then, day, hour, and past electricity consumption data are fed as a three-dimensional input sequence to a four-level Wavelet Decomposition Network model. Finally, the forecast sequences related to the different intrinsic mode functions are combined to form the aggregate forecast sequence. The proposed method was assessed using load profiles of five Moroccan households from the Moroccan buildings' electricity consumption dataset (MORED) and was benchmarked against state-of-the-art time-series models and a baseline persistence model.",11/15/2022,,,326,,,,"Place: 125 London Wall, London, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",Deep learning; Multi-horizon forecasting; Short-term residential load forecasting; Variational mode decomposition,
